Subject,Name,Training,Nivel,BLPS,MPDC,APCPS,PD,Entropy,TTP,PDS
s03,SequenceMemory_r21,False,3,3.775166777,0.424406524,0.112420603,0.620248801,2.071149076,3588223,1.77E-07
s03,SequenceMemory_r23,False,3,4.058459341,0.167976832,0.04138931,0.509411835,2.08001043,4784439,1.26E-07
s03,SequenceMemory_r24,False,1,3.983897828,0.007446804,0.001869226,0.221070705,1.997282859,4046763,1.04E-07
s03,SequenceMemory_r25,False,3,4.087126284,0.171133133,0.041871261,0.356143881,2.090586954,6359274,6.15E-08
s03,SequenceMemory_r29,False,6,4.275700811,0.045839765,0.010720995,0.466997367,2.112538306,10665239,4.00E-08
s03,SequenceMemory_r03,False,6,4.687806434,-0.21671688,-0.046229912,0.223991383,2.161694323,8432543,5.76E-08
s03,SequenceMemory_r30,False,6,3.954104036,0.351989754,0.08901884,0.626333014,2.107619985,13595800,3.88E-08
s03,SequenceMemory_r32,False,1,4.358616166,-0.085372873,-0.019587151,0.145486546,2.096151254,3847441,7.04E-08
s03,SequenceMemory_r04,False,3,4.170552041,-0.066268109,-0.015889529,0.162971154,2.037726518,5960192,7.80E-08
s03,SequenceMemory_r05,False,3,4.023818239,0.063512098,0.015784037,0.504295892,2.032802507,5781045,1.28E-07
s03,SequenceMemory_r07,False,6,4.055731816,0.33975054,0.083770465,0.630845703,2.136834654,6897555,1.18E-07
s03,SequenceMemory_r08,False,6,3.998083676,0.394214198,0.098600787,0.884723692,2.136400907,9170243,9.58E-08
s04,SequenceMemory_r01,False,6,3.991776823,0.050659213,0.012690893,0.613594569,2.018590565,8253083,1.18E-07
s04,SequenceMemory_r10,False,6,3.417965496,0.321532831,0.094071409,0.699857734,1.904085059,8671725,8.19E-08
s04,SequenceMemory_r11,False,1,3.620860416,-0.061240124,-0.016913141,0.084140804,1.832231151,3249294,6.33E-08
s04,SequenceMemory_r16,False,6,3.387278443,0.182652469,0.053923075,0.405801838,1.837125914,10286593,5.79E-08
s04,SequenceMemory_r17,False,6,3.477672612,0.091561774,0.026328463,0.370902143,1.836855232,8312953,8.30E-08
s04,SequenceMemory_r18,False,6,3.532298831,0.076392949,0.021626978,0.522603862,1.853476878,10286465,7.40E-08
s04,SequenceMemory_r22,False,3,3.392435682,0.050762709,0.014963499,0.370785591,1.785090123,5143239,8.91E-08
s04,SequenceMemory_r24,False,3,3.308739546,0.125442911,0.037912597,0.402951976,1.780597476,5143222,8.53E-08
